"id","author","cover_url","description","details","featured","price","published_year","title"
"1","Charlotte Brontë","/images/jane_eyre.jpg","A gothic romance and bildungsroman.","Jane Eyre’s journey of love, independence, and morality.","False","11.49","1847","Jane Eyre"
"2","Emily Brontë","/images/wuthering_heights.jpg","A dark tale of passion and revenge.","The doomed love story of Heathcliff and Catherine.","False","9.49","1847","Wuthering Heights"
"3","Fyodor Dostoevsky","/images/crime_punishment.jpg","Psychological novel about guilt and redemption.","Raskolnikov struggles with morality after committing murder.","True","12.99","1866","Crime and Punishment"
"4","Leo Tolstoy","/images/war_peace.jpg","Epic novel set during the Napoleonic wars.","Explores Russian society, history, and philosophy.","False","14.99","1869","War and Peace"
"5","Fyodor Dostoevsky","/images/brothers_karamazov.jpg","Philosophical novel about faith and morality.","Explores family conflict, justice, and spirituality.","False","13.99","1880","The Brothers Karamazov"
"6","William Golding","/images/lord_flies.jpg","Boys stranded on an island descend into chaos.","Explores civilization vs savagery.","False","8.99","1954","Lord of the Flies"
"7","Aldous Huxley","/images/brave_new_world.jpg","Dystopian novel about a controlled society.","Questions technology, freedom, and happiness.","True","10.49","1932","Brave New World"
"8","George Orwell","/images/animal_farm.jpg","Political allegory with farm animals.","Satire of totalitarianism and corruption.","True","7.99","1945","Animal Farm"
"9","Ray Bradbury","/images/fahrenheit_451.jpg","A future where books are banned.","Guy Montag questions censorship and conformity.","False","9.49","1953","Fahrenheit 451"
"10","Kurt Vonnegut","/images/slaughterhouse_five.jpg","Anti-war novel with time travel.","Billy Pilgrim becomes “unstuck in time.”","False","10.99","1969","Slaughterhouse-Five"
"11","Gabriel García Márquez","/images/love_cholera.jpg","A love story spanning decades.","Florentino and Fermina’s lifelong romance.","False","11.49","1985","Love in the Time of Cholera"
"12","Albert Camus","/images/stranger.jpg","Existential novel about absurdity.","Meursault faces trial after a senseless murder.","False","9.99","1942","The Stranger"
"13","Franz Kafka","/images/trial.jpg","A man prosecuted by a mysterious court.","Explores bureaucracy and alienation.","False","10.49","1925","The Trial"
"14","Nathaniel Hawthorne","/images/scarlet_letter.jpg","Story of sin and redemption.","Hester Prynne wears the letter “A.”","False","9.49","1850","The Scarlet Letter"
"15","Louisa May Alcott","/images/little_women.jpg","Coming-of-age story of four sisters.","Meg, Jo, Beth, and Amy grow up in Civil War America.","True","8.99","1868","Little Women"
"16","John Steinbeck","/images/grapes_wrath.jpg","Depression-era family struggles.","The Joads migrate west seeking hope.","True","11.99","1939","The Grapes of Wrath"
"17","John Steinbeck","/images/east_eden.jpg","Family saga in California.","Explores good, evil, and destiny.","False","12.49","1952","East of Eden"
"18","John Steinbeck","/images/of_mice_and_men.jpg","A tragic tale of friendship and dreams.","George and Lennie struggle to find work and stability during the Great Depression.","False","8.99","1937","Of Mice and Men"
"19","William Faulkner","/images/sound_and_fury.jpg","A modernist novel about a Southern family.","Explores the decline of the Compson family through multiple perspectives.","False","11.49","1929","The Sound and the Fury"
"20","William Faulkner","/images/as_i_lay_dying.jpg","A family’s journey to bury their mother.","Narrated by 15 characters, it explores grief and rural life.","False","9.99","1930","As I Lay Dying"
"21","Toni Morrison","/images/song_of_solomon.jpg","A novel about identity and heritage.","Milkman Dead searches for his family’s roots and meaning.","False","11.49","1977","Song of Solomon"
"22","Charles Dickens","/images/david_copperfield.jpg","Semi-autobiographical novel of growth.","Follows David’s journey from childhood to adulthood.","False","9.99","1850","David Copperfield"
"23","Charles Dickens","/images/oliver_twist.jpg","A tale of poverty and crime.","Orphan Oliver struggles in London’s underworld.","False","8.99","1838","Oliver Twist"
"24","George Eliot","/images/middlemarch.jpg","A study of provincial life.","Explores marriage, politics, and reform in a small English town.","False","12.49","1871","Middlemarch"
"25","Thomas Hardy","/images/tess_durbervilles.jpg","A tragic story of fate and injustice.","Tess’s life is marked by hardship and societal judgment.","True","11.99","1891","Tess of the d’Urbervilles"
"26","Thomas Hardy","/images/jude_obscure.jpg","A bleak tale of ambition and despair.","Jude dreams of education but faces tragedy.","False","10.49","1895","Jude the Obscure"
"27","William Makepeace Thackeray","/images/vanity_fair.jpg","A satirical novel of society.","Becky Sharp manipulates her way through social climbing.","False","9.99","1848","Vanity Fair"
"28","Oscar Wilde","/images/dorian_gray.jpg","A novel about beauty and corruption.","Dorian’s portrait ages while he remains youthful.","True","10.99","1890","The Picture of Dorian Gray"
"29","Bram Stoker","/images/dracula.jpg","The classic vampire novel.","Count Dracula terrorizes England in this gothic tale.","True","9.49","1897","Dracula"
"30","Leo Tolstoy","/images/anna_karenina.jpg","Tragic love story in Imperial Russia.","Anna’s affair with Vronsky leads to scandal and despair.","False","13.49","1877","Anna Karenina"
"31","J.D. Salinger","/images/catcher_rye.jpg","A story of teenage alienation.","Holden Caulfield wanders New York, questioning society.","False","9.99","1951","The Catcher in the Rye"
"32","Miguel de Cervantes","/images/don_quixote.jpg","A satirical adventure novel.","The deluded knight Don Quixote and his squire Sancho Panza.","False","12.99","1605","Don Quixote"
"33","Alexandre Dumas","/images/monte_cristo.jpg","A tale of revenge and justice.","Edmond Dantès seeks vengeance after betrayal.","True","11.99","1844","The Count of Monte Cristo"
"34","Alexandre Dumas","/images/three_musketeers.jpg","Adventure novel of friendship and honor.","D’Artagnan joins Athos, Porthos, and Aramis.","False","10.49","1844","The Three Musketeers"
"35","Victor Hugo","/images/les_miserables.jpg","Epic story of justice and redemption.","Jean Valjean’s journey from convict to benefactor.","True","13.49","1862","Les Misérables"
"36","Victor Hugo","/images/notre_dame.jpg","Tragic gothic romance.","Quasimodo and Esmeralda in medieval Paris.","False","11.49","1831","The Hunchback of Notre Dame"
"37","Gustave Flaubert","/images/madame_bovary.jpg","A novel of desire and disillusionment.","Emma Bovary seeks passion beyond her marriage.","True","10.99","1856","Madame Bovary"
"38","Stendhal","/images/red_black.jpg","Ambition and love in post-Napoleonic France.","Julien Sorel rises and falls in society.","False","9.99","1830","The Red and the Black"
"39","Émile Zola","/images/germinal.jpg","A naturalist novel about miners.","Depicts harsh working conditions and class struggle.","False","11.49","1885","Germinal"
"40","Franz Kafka","/images/metamorphosis.jpg","A surreal tale of alienation.","Gregor Samsa wakes up as an insect.","True","8.99","1915","The Metamorphosis"
"41","Thomas Mann","/images/magic_mountain.jpg","Philosophical novel set in a sanatorium.","Hans Castorp’s stay becomes a meditation on time and illness.","False","12.99","1924","The Magic Mountain"
